iter	Passed	Remaining
0	15	3932
1	27	3371
2	40	3303
3	45	2819
4	50	2497
5	55	2248
6	59	2081
7	64	1946
8	68	1835
9	73	1763
10	77	1691
11	82	1645
12	86	1582
13	91	1534
14	95	1500
15	99	1458
16	104	1431
17	108	1396
18	113	1375
19	117	1353
20	121	1327
21	126	1310
22	131	1293
23	135	1278
24	139	1258
25	144	1245
26	148	1230
27	153	1214
28	157	1197
29	161	1187
30	166	1172
31	170	1159
32	174	1149
33	179	1139
34	187	1151
35	192	1142
36	196	1132
37	200	1119
38	205	1110
39	209	1097
40	213	1086
41	217	1078
42	221	1068
43	225	1058
44	230	1048
45	234	1038
46	238	1028
47	244	1027
48	248	1018
49	252	1009
50	256	1000
51	260	991
52	264	983
53	268	975
54	272	967
55	276	959
56	280	950
57	285	943
58	288	935
59	292	927
60	297	920
61	301	913
62	305	906
63	309	899
64	313	892
65	317	886
66	321	878
67	325	871
68	329	865
69	333	858
70	338	852
71	342	846
72	346	839
73	350	833
74	354	827
75	358	820
76	362	814
77	366	808
78	370	802
79	372	791
80	376	785
81	380	779
82	385	776
83	395	781
84	404	784
85	411	785
86	418	783
87	423	780
88	431	780
89	437	778
90	441	772
91	447	768
92	451	762
93	455	756
94	460	751
95	464	745
96	469	740
97	473	734
98	477	728
99	481	722
100	485	716
101	490	711
102	495	707
103	499	701
104	503	695
105	508	690
106	512	684
107	516	678
108	520	673
109	524	667
110	528	661
111	530	654
112	534	648
113	538	642
114	543	637
115	547	632
116	551	626
117	556	622
118	560	617
119	565	612
120	569	606
121	573	601
122	577	596
123	581	590
124	585	585
125	589	580
126	594	575
127	598	570
128	602	565
129	606	560
130	610	555
131	615	549
132	619	544
133	623	540
134	627	534
135	632	530
136	636	524
137	640	519
138	644	514
139	648	509
140	652	504
141	657	499
142	661	494
143	665	489
144	669	484
145	673	479
146	677	474
147	681	469
148	685	464
149	690	460
150	693	454
151	697	449
152	702	445
153	706	440
154	710	435
155	714	430
156	718	425
157	722	420
158	726	415
159	730	411
160	734	406
161	738	401
162	742	396
163	746	391
164	750	386
165	755	382
166	759	377
167	763	372
168	767	367
169	771	363
170	775	358
171	779	353
172	783	348
173	787	344
174	792	339
175	795	334
176	800	330
177	804	325
178	808	320
179	813	316
180	817	311
181	821	306
182	825	302
183	829	297
184	832	292
185	836	287
186	840	283
187	845	278
188	849	274
189	853	269
190	857	264
191	861	260
192	865	255
193	870	251
194	873	246
195	877	241
196	881	237
197	885	232
198	889	228
199	893	223
200	897	218
201	902	214
202	906	209
203	910	205
204	914	200
205	918	196
206	922	191
207	924	186
208	928	182
209	932	177
210	937	173
211	939	168
212	944	164
213	948	159
214	952	155
215	956	150
216	960	146
217	964	141
218	969	137
219	974	132
220	980	128
221	986	124
222	992	120
223	996	115
224	1000	111
225	1004	106
226	1008	102
227	1013	97
228	1017	93
229	1021	88
230	1025	84
231	1029	79
232	1033	75
233	1037	70
234	1041	66
235	1045	62
236	1049	57
237	1054	53
238	1058	48
239	1062	44
240	1066	39
241	1070	35
242	1075	30
243	1079	26
244	1083	22
245	1087	17
246	1092	13
247	1096	8
248	1098	4
249	1102	0
